"","seqnames","start","end","width","strand","peakNames"
"7800","1",26113193,26113452,260,"*",c("SRR5874657__08662", "SRR5874658__09746")
"7801","1",26117843,26118405,563,"*",c("SRR5874657__08663", "SRR5874658__09747", "SRR5874658__09748")
"7802","1",26119562,26119826,265,"*",c("SRR5874657__08664", "SRR5874658__09749")
"7803","1",26120308,26120386,79,"*",c("SRR5874657__08665", "SRR5874658__09750")
"7804","1",26120795,26121454,660,"*",c("SRR5874657__08667", "SRR5874658__09751")
"7805","1",26121912,26122125,214,"*",c("SRR5874657__08668", "SRR5874658__09752")
"7806","1",26122939,26123207,269,"*",c("SRR5874658__09753", "SRR5874657__08669")
"7807","1",26123471,26123779,309,"*",c("SRR5874658__09754", "SRR5874657__08670")
"7808","1",26126158,26126427,270,"*",c("SRR5874658__09755", "SRR5874657__08671")
"7809","1",26128014,26128300,287,"*",c("SRR5874658__09756", "SRR5874657__08672")
"7810","1",26132867,26133303,437,"*",c("SRR5874658__09757", "SRR5874657__08673")
"7811","1",26133314,26133709,396,"*",c("SRR5874658__09758", "SRR5874657__08674")
"7812","1",26133884,26134153,270,"*",c("SRR5874657__08675", "SRR5874658__09759")
"7813","1",26134336,26134889,554,"*",c("SRR5874657__08676", "SRR5874658__09760")
"7814","1",26135135,26135315,181,"*",c("SRR5874658__09761", "SRR5874657__08677")
"7815","1",26135977,26136169,193,"*",c("SRR5874657__08678", "SRR5874658__09762")
"7816","1",26137928,26138022,95,"*",c("SRR5874658__09763", "SRR5874657__08679")
"7817","1",26139863,26140016,154,"*",c("SRR5874658__09764", "SRR5874657__08680")
"7818","1",26140580,26140665,86,"*",c("SRR5874657__08681", "SRR5874658__09765")
"7819","1",26140979,26141619,641,"*",c("SRR5874658__09766", "SRR5874657__08682", "SRR5874658__09767", "SRR5874657__08683")
"7820","1",26141737,26141868,132,"*",c("SRR5874658__09768", "SRR5874657__08684")
"7821","1",26143737,26144003,267,"*",c("SRR5874657__08685", "SRR5874658__09770")
"7822","1",26144526,26144843,318,"*",c("SRR5874657__08686", "SRR5874658__09771")
"7823","1",26147576,26147866,291,"*",c("SRR5874657__08687", "SRR5874658__09772")
"7824","1",26148153,26148271,119,"*",c("SRR5874658__09773", "SRR5874657__08688")
"7825","1",26153375,26154182,808,"*",c("SRR5874657__08689", "SRR5874658__09774")
"7826","1",26159809,26159934,126,"*",c("SRR5874657__08690", "SRR5874658__09776")
"7827","1",26161289,26161772,484,"*",c("SRR5874658__09777", "SRR5874657__08692")
"7828","1",26163299,26163619,321,"*",c("SRR5874658__09778", "SRR5874657__08693")
"7829","1",26164272,26165022,751,"*",c("SRR5874658__09779", "SRR5874657__08694")
"7830","1",26165148,26165521,374,"*",c("SRR5874657__08695", "SRR5874658__09780")
"7831","1",26168924,26169211,288,"*",c("SRR5874658__09781", "SRR5874657__08696")
"7832","1",26173689,26174057,369,"*",c("SRR5874658__09782", "SRR5874657__08697", "SRR5874658__09783")
"7833","1",26175259,26176162,904,"*",c("SRR5874658__09785", "SRR5874657__08698")
"7834","1",26179233,26179453,221,"*",c("SRR5874657__08699", "SRR5874658__09786")
"7835","1",26181737,26181979,243,"*",c("SRR5874658__09787", "SRR5874657__08700")
"7836","1",26184490,26184794,305,"*",c("SRR5874658__09790", "SRR5874657__08701")
"7837","1",26185105,26185217,113,"*",c("SRR5874657__08702", "SRR5874658__09792")
"7838","1",26185271,26185566,296,"*",c("SRR5874658__09793", "SRR5874657__08703")
"7839","1",26189531,26189937,407,"*",c("SRR5874658__09795", "SRR5874657__08704")
"7840","1",26193237,26193549,313,"*",c("SRR5874657__08705", "SRR5874658__09796")
"7841","1",26195606,26195989,384,"*",c("SRR5874657__08706", "SRR5874658__09797")
"7842","1",26204625,26204905,281,"*",c("SRR5874657__08707", "SRR5874658__09798")
"7843","1",26207963,26208231,269,"*",c("SRR5874657__08708", "SRR5874658__09799")
"7844","1",26210521,26210791,271,"*",c("SRR5874657__08709", "SRR5874658__09800")
"7845","1",26210972,26211326,355,"*",c("SRR5874658__09801", "SRR5874657__08710")
"7846","1",26211773,26211915,143,"*",c("SRR5874657__08711", "SRR5874658__09802")
"7847","1",26212024,26212225,202,"*",c("SRR5874657__08712", "SRR5874658__09803")
"7848","1",26212926,26213064,139,"*",c("SRR5874658__09804", "SRR5874657__08713")
"7849","1",26213594,26213809,216,"*",c("SRR5874657__08714", "SRR5874658__09805")
"7850","1",26215959,26216131,173,"*",c("SRR5874658__09806", "SRR5874657__08715")
"7851","1",26216171,26216538,368,"*",c("SRR5874658__09807", "SRR5874657__08716")
"7852","1",26219653,26219997,345,"*",c("SRR5874658__09808", "SRR5874657__08718")
"7853","1",26221598,26222095,498,"*",c("SRR5874658__09809", "SRR5874657__08719")
"7854","1",26229958,26230433,476,"*",c("SRR5874657__08720", "SRR5874658__09810", "SRR5874658__09811")
"7855","1",26231418,26231495,78,"*",c("SRR5874657__08721", "SRR5874658__09812")
"7856","1",26231732,26231816,85,"*",c("SRR5874657__08722", "SRR5874658__09813")
"7857","1",26235011,26235343,333,"*",c("SRR5874657__08723", "SRR5874658__09814")
"7858","1",26235679,26236264,586,"*",c("SRR5874657__08724", "SRR5874658__09815", "SRR5874658__09816")
"7859","1",26238693,26238877,185,"*",c("SRR5874658__09817", "SRR5874657__08725")
"7860","1",26240650,26241114,465,"*",c("SRR5874657__08726", "SRR5874658__09819")
"7861","1",26241590,26241807,218,"*",c("SRR5874657__08727", "SRR5874658__09820")
"7862","1",26242507,26242759,253,"*",c("SRR5874657__08728", "SRR5874658__09821")
"7863","1",26242842,26243152,311,"*",c("SRR5874657__08729", "SRR5874658__09822", "SRR5874658__09823")
"7864","1",26243476,26243694,219,"*",c("SRR5874657__08730", "SRR5874658__09824")
"7865","1",26244245,26244444,200,"*",c("SRR5874658__09825", "SRR5874657__08731", "SRR5874658__09826")
"7866","1",26245754,26246027,274,"*",c("SRR5874658__09827", "SRR5874657__08732")
"7867","1",26246599,26246833,235,"*",c("SRR5874657__08733", "SRR5874658__09828")
"7868","1",26247309,26247814,506,"*",c("SRR5874657__08734", "SRR5874658__09829", "SRR5874658__09830")
"7869","1",26248949,26249120,172,"*",c("SRR5874657__08735", "SRR5874658__09831")
"7870","1",26253554,26253827,274,"*",c("SRR5874658__09832", "SRR5874657__08736")
"7871","1",26254854,26255544,691,"*",c("SRR5874658__09833", "SRR5874657__08737", "SRR5874658__09834")
"7872","1",26256270,26256638,369,"*",c("SRR5874658__09835", "SRR5874657__08738")
"7873","1",26257776,26258000,225,"*",c("SRR5874658__09836", "SRR5874657__08739")
"7874","1",26258792,26258962,171,"*",c("SRR5874657__08740", "SRR5874658__09837")
"7875","1",26260699,26261063,365,"*",c("SRR5874658__09840", "SRR5874657__08742", "SRR5874657__08743")
"7876","1",26264605,26264990,386,"*",c("SRR5874657__08744", "SRR5874658__09842")
"7877","1",26265687,26265982,296,"*",c("SRR5874657__08745", "SRR5874658__09843")
"7878","1",26266539,26266745,207,"*",c("SRR5874657__08746", "SRR5874658__09844")
"7879","1",26276178,26276617,440,"*",c("SRR5874657__08747", "SRR5874658__09846")
"7880","1",26279260,26279425,166,"*",c("SRR5874657__08748", "SRR5874658__09848")
"7881","1",26281544,26281819,276,"*",c("SRR5874658__09850", "SRR5874657__08749")
"7882","1",26292957,26293409,453,"*",c("SRR5874657__08750", "SRR5874658__09851")
"7883","1",26293618,26294220,603,"*",c("SRR5874657__08751", "SRR5874658__09852")
"7884","1",26296424,26296666,243,"*",c("SRR5874658__09853", "SRR5874657__08752")
"7885","1",26298941,26299576,636,"*",c("SRR5874658__09855", "SRR5874657__08753")
"7886","1",26300426,26300608,183,"*",c("SRR5874657__08754", "SRR5874658__09856")
"7887","1",26302840,26303183,344,"*",c("SRR5874657__08755", "SRR5874658__09859")
"7888","1",26304951,26305379,429,"*",c("SRR5874657__08756", "SRR5874658__09861")
"7889","1",26306643,26306868,226,"*",c("SRR5874658__09862", "SRR5874657__08757")
"7890","1",26308348,26308714,367,"*",c("SRR5874658__09863", "SRR5874657__08758", "SRR5874658__09864")
"7891","1",26313273,26313642,370,"*",c("SRR5874658__09865", "SRR5874657__08759")
"7892","1",26314027,26314588,562,"*",c("SRR5874657__08760", "SRR5874658__09866")
"7893","1",26315651,26316080,430,"*",c("SRR5874658__09867", "SRR5874657__08761")
"7894","1",26317298,26317650,353,"*",c("SRR5874658__09868", "SRR5874657__08762")
"7895","1",26317873,26318016,144,"*",c("SRR5874657__08763", "SRR5874658__09869")
"7896","1",26323316,26323794,479,"*",c("SRR5874657__08764", "SRR5874658__09870")
"7897","1",26324552,26324914,363,"*",c("SRR5874657__08765", "SRR5874658__09871")
"7898","1",26324971,26325227,257,"*",c("SRR5874658__09872", "SRR5874657__08766")
"7899","1",26327824,26328043,220,"*",c("SRR5874658__09873", "SRR5874657__08767")
"7900","1",26328538,26329007,470,"*",c("SRR5874658__09874", "SRR5874657__08768")
"7901","1",26330010,26330155,146,"*",c("SRR5874658__09876", "SRR5874657__08769")
"7902","1",26331620,26332293,674,"*",c("SRR5874657__08770", "SRR5874658__09877")
"7903","1",26334386,26334733,348,"*",c("SRR5874657__08771", "SRR5874658__09878")
"7904","1",26338995,26339135,141,"*",c("SRR5874658__09880", "SRR5874657__08772")
"7905","1",26341254,26341442,189,"*",c("SRR5874657__08773", "SRR5874658__09882")
"7906","1",26342994,26343383,390,"*",c("SRR5874657__08774", "SRR5874658__09883")
"7907","1",26346077,26346194,118,"*",c("SRR5874658__09885", "SRR5874657__08776")
"7908","1",26350652,26351038,387,"*",c("SRR5874657__08777", "SRR5874658__09886", "SRR5874658__09887")
"7909","1",26357644,26358175,532,"*",c("SRR5874657__08779", "SRR5874658__09888")
"7910","1",26362692,26363760,1069,"*",c("SRR5874657__08780", "SRR5874658__09889")
"7911","1",26364748,26365821,1074,"*",c("SRR5874658__09891", "SRR5874657__08781", "SRR5874658__09892", "SRR5874658__09893")
"7912","1",26365861,26366021,161,"*",c("SRR5874657__08782", "SRR5874658__09894")
"7913","1",26366139,26366483,345,"*",c("SRR5874658__09895", "SRR5874657__08783")
"7914","1",26372154,26372723,570,"*",c("SRR5874658__09897", "SRR5874657__08784")
"7915","1",26372980,26373505,526,"*",c("SRR5874658__09898", "SRR5874657__08785")
"7916","1",26376884,26377129,246,"*",c("SRR5874657__08786", "SRR5874658__09900")
"7917","1",26381777,26382377,601,"*",c("SRR5874657__08787", "SRR5874658__09901")
"7918","1",26382454,26382942,489,"*",c("SRR5874658__09902", "SRR5874657__08788")
"7919","1",26383187,26383365,179,"*",c("SRR5874658__09903", "SRR5874657__08789")
"7920","1",26394132,26394350,219,"*",c("SRR5874657__08790", "SRR5874658__09904")
"7921","1",26397385,26397573,189,"*",c("SRR5874658__09905", "SRR5874657__08791")
"7922","1",26399243,26399573,331,"*",c("SRR5874658__09906", "SRR5874657__08792")
"7923","1",26399747,26400200,454,"*",c("SRR5874657__08793", "SRR5874658__09907")
"7924","1",26400316,26400870,555,"*",c("SRR5874657__08794", "SRR5874658__09908")
"7925","1",26402366,26403185,820,"*",c("SRR5874657__08795", "SRR5874658__09909")
"7926","1",26414860,26415121,262,"*",c("SRR5874658__09911", "SRR5874657__08797")
"7927","1",26415185,26415544,360,"*",c("SRR5874657__08798", "SRR5874658__09912")
"7928","1",26416286,26416459,174,"*",c("SRR5874658__09913", "SRR5874657__08799")
"7929","1",26416684,26417005,322,"*",c("SRR5874658__09914", "SRR5874657__08800")
"7930","1",26419091,26419361,271,"*",c("SRR5874657__08801", "SRR5874658__09915")
"7931","1",26419486,26419961,476,"*",c("SRR5874658__09916", "SRR5874657__08802")
"7932","1",26422533,26422844,312,"*",c("SRR5874658__09917", "SRR5874657__08803")
"7933","1",26426302,26426481,180,"*",c("SRR5874658__09918", "SRR5874657__08805")
"7934","1",26429581,26429916,336,"*",c("SRR5874657__08806", "SRR5874658__09919")
"7935","1",26430412,26430549,138,"*",c("SRR5874657__08807", "SRR5874658__09920")
"7936","1",26434338,26435380,1043,"*",c("SRR5874658__09921", "SRR5874657__08808", "SRR5874658__09922")
"7937","1",26438814,26438891,78,"*",c("SRR5874657__08809", "SRR5874658__09923")
"7938","1",26439428,26439784,357,"*",c("SRR5874657__08810", "SRR5874658__09924")
"7939","1",26440405,26440545,141,"*",c("SRR5874657__08811", "SRR5874658__09925")
"7940","1",26442165,26442574,410,"*",c("SRR5874658__09926", "SRR5874657__08812")
"7941","1",26442672,26442987,316,"*",c("SRR5874657__08813", "SRR5874658__09927", "SRR5874657__08814")
"7942","1",26443282,26443402,121,"*",c("SRR5874657__08815", "SRR5874658__09928")
"7943","1",26444374,26444575,202,"*",c("SRR5874657__08816", "SRR5874658__09929")
"7944","1",26445351,26445465,115,"*",c("SRR5874657__08817", "SRR5874658__09931")
"7945","1",26445855,26446092,238,"*",c("SRR5874657__08818", "SRR5874658__09932")
"7946","1",26448071,26448304,234,"*",c("SRR5874657__08819", "SRR5874658__09933")
"7947","1",26449542,26449890,349,"*",c("SRR5874657__08820", "SRR5874658__09934")
"7948","1",26450177,26450291,115,"*",c("SRR5874657__08821", "SRR5874658__09935")
"7949","1",26450992,26451296,305,"*",c("SRR5874657__08822", "SRR5874658__09936")
"7950","1",26451428,26451778,351,"*",c("SRR5874657__08823", "SRR5874658__09937")
"7951","1",26451998,26452154,157,"*",c("SRR5874658__09938", "SRR5874657__08824")
"7952","1",26452265,26452406,142,"*",c("SRR5874658__09939", "SRR5874657__08825")
"7953","1",26452566,26452890,325,"*",c("SRR5874657__08826", "SRR5874658__09940")
"7954","1",26458564,26458829,266,"*",c("SRR5874658__09941", "SRR5874657__08827")
"7955","1",26460755,26461088,334,"*",c("SRR5874657__08828", "SRR5874658__09942")
"7956","1",26461319,26461493,175,"*",c("SRR5874658__09943", "SRR5874657__08829")
"7957","1",26461807,26462025,219,"*",c("SRR5874657__08830", "SRR5874658__09945")
"7958","1",26463101,26463369,269,"*",c("SRR5874658__09946", "SRR5874657__08831")
"7959","1",26463518,26463891,374,"*",c("SRR5874657__08832", "SRR5874658__09947")
"7960","1",26465220,26465442,223,"*",c("SRR5874658__09948", "SRR5874657__08833")
"7961","1",26468691,26468801,111,"*",c("SRR5874658__09949", "SRR5874657__08834")
"7962","1",26469463,26469803,341,"*",c("SRR5874657__08835", "SRR5874658__09950")
"7963","1",26470114,26470264,151,"*",c("SRR5874658__09951", "SRR5874657__08836")
"7964","1",26470721,26471513,793,"*",c("SRR5874657__08837", "SRR5874658__09952", "SRR5874658__09953")
"7965","1",26474820,26475108,289,"*",c("SRR5874657__08838", "SRR5874658__09954")
"7966","1",26475491,26475702,212,"*",c("SRR5874658__09955", "SRR5874657__08839")
"7967","1",26475751,26476048,298,"*",c("SRR5874657__08840", "SRR5874658__09956")
"7968","1",26476099,26476275,177,"*",c("SRR5874657__08841", "SRR5874658__09957")
"7969","1",26476391,26476844,454,"*",c("SRR5874658__09958", "SRR5874657__08842")
"7970","1",26477488,26477902,415,"*",c("SRR5874658__09960", "SRR5874657__08843")
"7971","1",26477982,26478132,151,"*",c("SRR5874657__08844", "SRR5874658__09961")
"7972","1",26480116,26480435,320,"*",c("SRR5874657__08845", "SRR5874658__09962")
"7973","1",26482840,26483591,752,"*",c("SRR5874657__08846", "SRR5874658__09963")
"7974","1",26484720,26485130,411,"*",c("SRR5874657__08847", "SRR5874658__09965")
"7975","1",26487331,26487588,258,"*",c("SRR5874657__08848", "SRR5874658__09966")
"7976","1",26488258,26488484,227,"*",c("SRR5874657__08849", "SRR5874658__09967")
"7977","1",26501554,26501879,326,"*",c("SRR5874658__09968", "SRR5874657__08850")
"7978","1",26502449,26503168,720,"*",c("SRR5874657__08851", "SRR5874658__09969")
"7979","1",26508252,26508532,281,"*",c("SRR5874657__08853", "SRR5874658__09971")
"7980","1",26511517,26511695,179,"*",c("SRR5874657__08854", "SRR5874658__09972")
"7981","1",26511875,26511990,116,"*",c("SRR5874657__08855", "SRR5874658__09973")
"7982","1",26512222,26513818,1597,"*",c("SRR5874657__08856", "SRR5874658__09974", "SRR5874658__09975")
"7983","1",26515009,26515108,100,"*",c("SRR5874657__08857", "SRR5874658__09976")
"7984","1",26517692,26517880,189,"*",c("SRR5874657__08858", "SRR5874658__09978")
"7985","1",26518387,26518804,418,"*",c("SRR5874657__08860", "SRR5874658__09979")
"7986","1",26523332,26523467,136,"*",c("SRR5874657__08861", "SRR5874658__09980")
"7987","1",26523619,26523953,335,"*",c("SRR5874658__09981", "SRR5874657__08862")
"7988","1",26524247,26524547,301,"*",c("SRR5874658__09983", "SRR5874657__08863")
"7989","1",26533397,26533652,256,"*",c("SRR5874657__08864", "SRR5874658__09985")
"7990","1",26534668,26535345,678,"*",c("SRR5874657__08865", "SRR5874658__09986")
"7991","1",26537113,26537309,197,"*",c("SRR5874658__09987", "SRR5874657__08866")
"7992","1",26538800,26539337,538,"*",c("SRR5874657__08867", "SRR5874658__09989")
"7993","1",26541337,26541727,391,"*",c("SRR5874658__09990", "SRR5874657__08868")
"7994","1",26541782,26541920,139,"*",c("SRR5874657__08869", "SRR5874658__09991")
"7995","1",26542474,26542705,232,"*",c("SRR5874658__09992", "SRR5874657__08870")
"7996","1",26543378,26543679,302,"*",c("SRR5874658__09993", "SRR5874657__08871")
"7997","1",26544278,26544439,162,"*",c("SRR5874657__08872", "SRR5874658__09994")
"7998","1",26544575,26544773,199,"*",c("SRR5874657__08873", "SRR5874658__09995")
"7999","1",26551289,26551489,201,"*",c("SRR5874658__09998", "SRR5874657__08874")
"8000","1",26555076,26555759,684,"*",c("SRR5874658__09999", "SRR5874657__08876")
"8001","1",26561603,26562129,527,"*",c("SRR5874657__08877", "SRR5874658__10001")
"8002","1",26563364,26563626,263,"*",c("SRR5874658__10002", "SRR5874657__08878")
"8003","1",26565742,26566043,302,"*",c("SRR5874657__08879", "SRR5874658__10004")
"8004","1",26569605,26569783,179,"*",c("SRR5874657__08881", "SRR5874658__10005")
"8005","1",26569810,26570298,489,"*",c("SRR5874657__08882", "SRR5874658__10006")
"8006","1",26572674,26572855,182,"*",c("SRR5874658__10008", "SRR5874657__08883")
"8007","1",26575265,26575536,272,"*",c("SRR5874657__08885", "SRR5874658__10009")
"8008","1",26580272,26580914,643,"*",c("SRR5874658__10010", "SRR5874657__08887")
"8009","1",26581001,26581286,286,"*",c("SRR5874658__10011", "SRR5874657__08888")
"8010","1",26583333,26583466,134,"*",c("SRR5874657__08889", "SRR5874658__10012")
"8011","1",26587425,26588206,782,"*",c("SRR5874658__10013", "SRR5874657__08890", "SRR5874657__08891")
"8012","1",26588537,26588638,102,"*",c("SRR5874657__08892", "SRR5874658__10014")
"8013","1",26591619,26591872,254,"*",c("SRR5874657__08893", "SRR5874658__10015")
"8014","1",26592332,26592513,182,"*",c("SRR5874658__10016", "SRR5874657__08894")
"8015","1",26592693,26593055,363,"*",c("SRR5874657__08895", "SRR5874658__10017")
"8016","1",26593401,26593663,263,"*",c("SRR5874658__10019", "SRR5874657__08896")
"8017","1",26594616,26594811,196,"*",c("SRR5874657__08897", "SRR5874658__10020")
"8018","1",26596377,26596627,251,"*",c("SRR5874657__08898", "SRR5874658__10022")
"8019","1",26598764,26598981,218,"*",c("SRR5874657__08899", "SRR5874658__10023")
"8020","1",26601714,26602085,372,"*",c("SRR5874658__10025", "SRR5874657__08902", "SRR5874658__10026")
"8021","1",26602589,26603101,513,"*",c("SRR5874657__08903", "SRR5874658__10027")
"8022","1",26606281,26606635,355,"*",c("SRR5874657__08904", "SRR5874658__10028")
"8023","1",26607096,26607298,203,"*",c("SRR5874657__08905", "SRR5874658__10029")
"8024","1",26608128,26608680,553,"*",c("SRR5874657__08906", "SRR5874658__10031")
"8025","1",26612238,26612753,516,"*",c("SRR5874657__08907", "SRR5874658__10032", "SRR5874657__08908")
"8026","1",26615853,26616089,237,"*",c("SRR5874657__08909", "SRR5874658__10033")
"8027","1",26617467,26617742,276,"*",c("SRR5874657__08910", "SRR5874658__10034")
"8028","1",26617945,26618411,467,"*",c("SRR5874657__08911", "SRR5874658__10035")
"8029","1",26621583,26622115,533,"*",c("SRR5874658__10036", "SRR5874657__08912")
"8030","1",26626290,26626956,667,"*",c("SRR5874657__08913", "SRR5874658__10037")
"8031","1",26635386,26635572,187,"*",c("SRR5874658__10039", "SRR5874657__08914")
"8032","1",26635779,26635991,213,"*",c("SRR5874658__10040", "SRR5874657__08915")
"8033","1",26636098,26636249,152,"*",c("SRR5874658__10041", "SRR5874657__08916")
"8034","1",26637088,26637354,267,"*",c("SRR5874658__10042", "SRR5874657__08918")
"8035","1",26637541,26637867,327,"*",c("SRR5874658__10043", "SRR5874657__08919")
"8036","1",26640203,26640429,227,"*",c("SRR5874658__10045", "SRR5874657__08920")
"8037","1",26640485,26640701,217,"*",c("SRR5874657__08921", "SRR5874658__10046")
"8038","1",26643776,26644183,408,"*",c("SRR5874657__08922", "SRR5874658__10047")
"8039","1",26648834,26649055,222,"*",c("SRR5874657__08923", "SRR5874658__10048")
"8040","1",26651018,26651345,328,"*",c("SRR5874658__10049", "SRR5874657__08925", "SRR5874657__08926")
"8041","1",26652598,26652838,241,"*",c("SRR5874658__10050", "SRR5874657__08927")
"8042","1",26654197,26654798,602,"*",c("SRR5874657__08928", "SRR5874658__10051")
"8043","1",26657473,26657871,399,"*",c("SRR5874657__08930", "SRR5874658__10052")
"8044","1",26658690,26658914,225,"*",c("SRR5874657__08931", "SRR5874658__10053")
"8045","1",26659251,26659736,486,"*",c("SRR5874657__08932", "SRR5874658__10054")
"8046","1",26659816,26659958,143,"*",c("SRR5874658__10055", "SRR5874657__08933")
"8047","1",26660398,26661384,987,"*",c("SRR5874657__08934", "SRR5874658__10056", "SRR5874657__08935")
"8048","1",26663010,26663256,247,"*",c("SRR5874657__08936", "SRR5874658__10057")
"8049","1",26666113,26666718,606,"*",c("SRR5874657__08937", "SRR5874658__10058", "SRR5874658__10059")
"8050","1",26668603,26668777,175,"*",c("SRR5874657__08938", "SRR5874658__10062")
"8051","1",26672717,26673270,554,"*",c("SRR5874657__08939", "SRR5874658__10063")
"8052","1",26673581,26673673,93,"*",c("SRR5874658__10064", "SRR5874657__08940")
"8053","1",26673831,26674140,310,"*",c("SRR5874658__10065", "SRR5874657__08941", "SRR5874658__10066")
"8054","1",26676406,26676901,496,"*",c("SRR5874657__08942", "SRR5874658__10068")
"8055","1",26678454,26678898,445,"*",c("SRR5874658__10069", "SRR5874657__08943")
"8056","1",26679982,26680349,368,"*",c("SRR5874658__10070", "SRR5874657__08944")
"8057","1",26683149,26683311,163,"*",c("SRR5874657__08945", "SRR5874658__10071")
"8058","1",26683864,26684122,259,"*",c("SRR5874658__10072", "SRR5874657__08946")
"8059","1",26684863,26685189,327,"*",c("SRR5874658__10073", "SRR5874657__08947")
"8060","1",26685268,26685391,124,"*",c("SRR5874657__08948", "SRR5874658__10074")
"8061","1",26686449,26686565,117,"*",c("SRR5874657__08949", "SRR5874658__10076")
"8062","1",26687110,26687400,291,"*",c("SRR5874657__08950", "SRR5874658__10077")
"8063","1",26691229,26691388,160,"*",c("SRR5874657__08951", "SRR5874658__10078")
"8064","1",26693262,26693499,238,"*",c("SRR5874658__10079", "SRR5874657__08952")
"8065","1",26694278,26694443,166,"*",c("SRR5874657__08953", "SRR5874658__10080")
"8066","1",26694478,26695262,785,"*",c("SRR5874657__08954", "SRR5874658__10081")
"8067","1",26696294,26696428,135,"*",c("SRR5874657__08955", "SRR5874658__10082")
"8068","1",26697228,26697630,403,"*",c("SRR5874658__10083", "SRR5874657__08956")
"8069","1",26698294,26698561,268,"*",c("SRR5874658__10084", "SRR5874657__08957")
"8070","1",26699061,26699615,555,"*",c("SRR5874657__08958", "SRR5874658__10085")
"8071","1",26700282,26700415,134,"*",c("SRR5874658__10086", "SRR5874657__08959")
"8072","1",26700897,26701035,139,"*",c("SRR5874658__10087", "SRR5874657__08960")
"8073","1",26703855,26704133,279,"*",c("SRR5874657__08961", "SRR5874658__10088")
"8074","1",26705322,26705480,159,"*",c("SRR5874657__08962", "SRR5874658__10089")
"8075","1",26707524,26707819,296,"*",c("SRR5874657__08963", "SRR5874658__10090")
"8076","1",26720205,26720384,180,"*",c("SRR5874657__08964", "SRR5874658__10092")
"8077","1",26722917,26723026,110,"*",c("SRR5874658__10094", "SRR5874657__08965")
"8078","1",26724528,26724717,190,"*",c("SRR5874658__10095", "SRR5874657__08966")
"8079","1",26725693,26725902,210,"*",c("SRR5874658__10096", "SRR5874657__08968")
"8080","1",26726711,26727079,369,"*",c("SRR5874657__08969", "SRR5874658__10097")
"8081","1",26727417,26727859,443,"*",c("SRR5874658__10098", "SRR5874657__08970", "SRR5874658__10099")
"8082","1",26728377,26728549,173,"*",c("SRR5874657__08971", "SRR5874658__10100")
"8083","1",26731302,26731852,551,"*",c("SRR5874658__10102", "SRR5874657__08972")
"8084","1",26733638,26734051,414,"*",c("SRR5874657__08973", "SRR5874658__10103", "SRR5874658__10104")
"8085","1",26734964,26735133,170,"*",c("SRR5874658__10105", "SRR5874657__08974")
"8086","1",26737107,26737354,248,"*",c("SRR5874657__08976", "SRR5874658__10106")
"8087","1",26739283,26739514,232,"*",c("SRR5874657__08977", "SRR5874658__10107")
"8088","1",26739588,26739913,326,"*",c("SRR5874657__08978", "SRR5874658__10108")
"8089","1",26741958,26742162,205,"*",c("SRR5874657__08979", "SRR5874658__10110")
"8090","1",26742386,26742509,124,"*",c("SRR5874658__10111", "SRR5874657__08980")
"8091","1",26742992,26743170,179,"*",c("SRR5874658__10112", "SRR5874657__08981")
"8092","1",26745106,26745305,200,"*",c("SRR5874658__10114", "SRR5874657__08982")
"8093","1",26746430,26746546,117,"*",c("SRR5874658__10116", "SRR5874657__08983")
"8094","1",26748127,26748253,127,"*",c("SRR5874657__08985", "SRR5874658__10117")
"8095","1",26748837,26749597,761,"*",c("SRR5874657__08986", "SRR5874658__10118")
"8096","1",26750244,26750769,526,"*",c("SRR5874658__10119", "SRR5874657__08987", "SRR5874658__10120")
"8097","1",26752330,26752693,364,"*",c("SRR5874658__10121", "SRR5874657__08988")
"8098","1",26761955,26762297,343,"*",c("SRR5874658__10122", "SRR5874657__08989")
"8099","1",26764860,26765153,294,"*",c("SRR5874657__08990", "SRR5874658__10123")
"8100","1",26765287,26765497,211,"*",c("SRR5874658__10124", "SRR5874657__08991")
"8101","1",26766888,26767041,154,"*",c("SRR5874657__08993", "SRR5874658__10126")
"8102","1",26768157,26768386,230,"*",c("SRR5874657__08994", "SRR5874658__10127")
"8103","1",26768595,26768926,332,"*",c("SRR5874658__10128", "SRR5874657__08995")
"8104","1",26770315,26770487,173,"*",c("SRR5874657__08996", "SRR5874658__10129")
"8105","1",26773935,26774218,284,"*",c("SRR5874658__10130", "SRR5874657__08997")
"8106","1",26775355,26776013,659,"*",c("SRR5874658__10132", "SRR5874657__08998")
"8107","1",26777077,26777245,169,"*",c("SRR5874658__10133", "SRR5874657__09000")
"8108","1",26777685,26777799,115,"*",c("SRR5874658__10134", "SRR5874657__09001")
"8109","1",26778845,26779014,170,"*",c("SRR5874658__10136", "SRR5874657__09002")
"8110","1",26781886,26782237,352,"*",c("SRR5874658__10137", "SRR5874657__09003")
"8111","1",26793105,26793258,154,"*",c("SRR5874657__09005", "SRR5874658__10140")
"8112","1",26796261,26797125,865,"*",c("SRR5874658__10141", "SRR5874657__09007")
"8113","1",26799191,26799327,137,"*",c("SRR5874657__09008", "SRR5874658__10142")
"8114","1",26799378,26799643,266,"*",c("SRR5874658__10143", "SRR5874657__09009")
"8115","1",26800181,26800434,254,"*",c("SRR5874657__09010", "SRR5874658__10144")
"8116","1",26801756,26802026,271,"*",c("SRR5874657__09011", "SRR5874658__10146")
